Jalan	Gang	Perumahan_Blok_Komplek	Blok	RT	RW	Kelurahan	Kecamatan	Kota_Kab	Jumlah_Entri_Alamat_Sama
				14		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
	Cerry		N	18		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	5
	Melati		L.2	19		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
				22		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
			E-1	24		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	5
				25		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
				26		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
			1A	27		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
				31		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
				36		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	14
			A1	37		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
				39		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
				48		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	5
				57		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
		Balikpapan Regency Castarica Jf9/12				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	5
		Bdl	B7			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
		Bdl	B7	37		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
		Bukit Lesrari				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
		Bukit Lestari				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	21
		Bukit Pondok Lestari	A.7			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
		Bukit Pondok Lestari	B2	56		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
		Bumi Balikpapan Indah	CC-II			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
		Castarica	JD2			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
		Castarica	JE7/35			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
		Castarica Jd2				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
		Castarica Jf9				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
		De Tulip Eb 10				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
		Her I				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
		Her Mandiri 1	L	19		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
		Her Mandiri I	H2	19		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
		Her Mandiri I	L	19		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	6
		Her Utama Mandiri	L			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
		Her Utama Mandiri I	L3			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
		Her Utama Mandiri I	H3	19		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
		Mawija		36		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	6
		Melati	E.2	49		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
		Melati Bintang Regency	NEPTUNUS			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
		Pondok Bukit Lestari				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	8
		Pondok Bukit Lestari		56		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	10
		Pondok Bukit Lestari	A9/1	56		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
		Pondok Bukit Lestari	B7	56		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
		Pondok Bukit Lestari	A5	56		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
		Pondok Bukit Lestari	A7	56		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
		Pondok Bukit Lestaribal				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
		Pondok Bukit Letari	A9/1	56		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
		Pt. Her Mandiri	IP	18		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
		Pt.her Mandiri	IP	18		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
		Puri Kencana	M/05			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	5
		Regency Celebration	I-1/07			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	5
		Regency De Tulip Eb 6				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
		Regency De Valley	D5-18			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
		Sepinggan Pratama	L7/15			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
		Sepinggan Pratama				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
		Sepinggan Pratama C2/5				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	5
		Sepinggan Pratama G3				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
		Sepinggan Pratama G4				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
		Sepinggan Pratama J10/1				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	5
		Tampak Siring Cd1				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
		Valencia	K5			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
		Valencia A1-1				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
		Valencia A2				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
		Valencia B1				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
		Valencia K3				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	6
		Valencia K9				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
Abdi Praja V		Balikpapan Indah 3		30		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
Baru Lemuku						Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	5
Baru Lemuku	Ende					Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
Batu Virus III				35		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
Belatuk II			I			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
Berlian V				32		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
Besakih IV		Balikpapan Regency Jl.. Besakih IV	BD			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
Besakih XV		Balikpapan Regency Jl.. Besakih XV				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
Delima Merah II				38		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
Duatan B Sakai						Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	6
Kelapa Gading	Saudara			57		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
Kintamani II			J-8			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
Kolonel Syarifuddin Yoes		Central Bizpark 2				Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
Lemuku						Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
Manuntung I			B1	14		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
Manuntung I			C	14		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
Manuntung II			C/67	14		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
Merah Delima II				38		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
Mukmin Faisal				17		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
Perjuangan 5A				62		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
Perjuangan Ujung 05				17		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
Rulita Sari				56		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
Safir II						Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
Safir III				36		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
Sarifuddin Yoes				38		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
Sepinggan Bar				56		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
Sepinggan Baru						Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
Sepinggan Baru				32		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
Sepinggan Baru				56		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	7
Sepinggan Baru				59		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	6
Sepinggan Baru 2				34		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
Sepinggan Baru II				38		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
Smu Negeri 4				46		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
Syarifuddin Yoes						Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
Syarifuddin Yoes				01		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
Topaz IV			O	54	60	Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
Topaz IV			O	54		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
Transad	Perjuangan			50		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
Transad				57		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
Wirayudha				12		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
Wirayudha 3						Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	5
Wirayudha VI				11		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
Wirayudha VIII						Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
			I.1			Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	3
	Mawar			04		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	5
				33		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	5
		Kartini Residence	G20	34		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	3
H.m Asnawi Arbain		Kartini Residence Bpp2	D	34		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	4
Kolonel Syarifuddin Yoes				13		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	1
Marsma R. Iswahyudi						Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	2
Marsma R. Iswahyudi				03		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	3
Marsma R. Iswahyudi	Mawar			03		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	4
Marsma R. Iswahyudi				08		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	4
Marsma R. Iswahyudi				09		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	9
Marsma R. Iswahyudi				10		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	2
Marsma R. Iswahyudi				12		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	4
Marsma R. Iswahyudi				16		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	2
Marsma R. Iswahyudi				25		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	4
Mulawarman						Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	2
Mulawarman				22		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	5
Mulawarman				31		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	4
Mulawarman				32		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	6
Prona II				24		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	4
Sepinggan Baru				17		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	1
Sepinggan Baru 1 Belakang Puskermas						Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	1
Syarifuddin Yoes		Central Bizpark 2	ARK			Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	1
Wiyata				22		Sepinggan Raya	Balikpapan Selatan	Kota Balikpapan	1
			F2			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	2
			M			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
						Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	23
			RBC-23			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	4
			R			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	2
			R.34A			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	2
			B.AA-36			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	5
			U			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
			U2			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
			S			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
	Inhdutani					Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	2
			I1-7			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
			B			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	5
			R	31		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	2
				40		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
			K	41		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	5
		Bdi	E1			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	4
		Bdi	U			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
		Bds	P			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	6
		Bds 2	J1			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
		Bds 2	A2			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	4
		Bds 2	S			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
		Bds 2	D			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	4
		Bds 2	N			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
		Bds II	S			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
		Bds II	U1			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
		Bds II				Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
		Bds II	J3/26			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
		Bds II	S	31		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
		Bukit Damai Indah	L			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	4
		Bukit Damai Indah	A			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
		Bukit Damai Indah C1				Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	6
		Bukit Damai Sentosa 2	R			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
		Bukit Damai Sentosa 2	R	31		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	2
		Ciputra Sp 1				Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
		Citra Bukit Indah	WF			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	4
		Kartini Residence	C1			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	2
		Pondok Karya Agung	BA			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Bukit Damai Indah B 35						Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Cendrawasih IV			ST	32		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	2
Cendrawasih IV Bds 2			U1	32		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	4
Inhutani 9				30		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	4
Jenderal Didiemin						Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Jenderal Sudirman				03		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
Jenderal Sudirman				24		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
Jenderal Sudirman				30		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Kakaktua 2			E1			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Kakaktua IX			F2			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Kakatua 2			E			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
Kakatua IX			F2			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	5
Letjen (tni) Z A Maulani						Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
Letjen Tni Z. A Maulani						Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	5
Letjen Tni Za Maulai				21		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Letjen Tni Za Maulani						Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	9
Letkol Asnawai Arbain	Flamboyan			30		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Letkol Asnawi Arbain				30		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Letkol H Asnawi Arbain						Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Letkol Pol Hm. Asnawi Arbain						Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
Letkol Pol. H. M. Asnawi Arbain	VII					Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Letkol Pol. H. M. Asnawi Arbain VII						Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Manunggal						Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	10
Manunggal 53						Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	14
Marsma R. Iswahyudi						Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	51
Marsma R. Iswahyudi			C			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	4
Marsma R. Iswahyudi				01		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	22
Marsma R. Iswahyudi				05		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	2
Marsma R.iswahyudi				01		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Marsma R.iswahyudi				05		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Merak II			C3			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
Merpati 2			S			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Merpati 2		Bds II Jalan Merpati 2	S			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Merpati 2		Bds II Jalan Merpati 2	S22A			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	2
Merpati 2		Bds II Jalan Merpati 2	S	33		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Merpati LLL			S			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
Mt. Haryono		Bukit Damai Indah Jl.. Mt. Haryono				Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	1
Mt. Haryono Bdi			I			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	4
Mt. Haryono Dalam	Inhdutani					Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
Nuri 4		Bds 2 Jln Nuri 4	J1			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
Oliana		Pondok Karya Agung Jl.. Oliana	RA/23			Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	3
Pondok Karya Agung				12		Sungai Nangka	Balikpapan Selatan	Kota Balikpapan	4
Gunung Guntur Asri				35		Gunung Sari Ulu	Balikpapan Tengah	Kota Balikpapan	2
Gunung Rejo				15		Gunung Sari Ulu	Balikpapan Tengah	Kota Balikpapan	1
Dr Sutomo 31						Karang Rejo	Balikpapan Tengah	Kota Balikpapan	4
Re Martadinata						Mekar Sari	Balikpapan Tengah	Kota Balikpapan	4
						Sumber Rejo	Balikpapan Tengah	Kota Balikpapan	1
Letjend S Parman				23		Sumber Rejo	Balikpapan Tengah	Kota Balikpapan	2
	Sumber Rejeki Rt15			15		Lamaru	Balikpapan Timur	Kota Balikpapan	1
				17		Lamaru	Balikpapan Timur	Kota Balikpapan	4
	Padatkarya			23		Lamaru	Balikpapan Timur	Kota Balikpapan	1
				23		Lamaru	Balikpapan Timur	Kota Balikpapan	1
				24		Lamaru	Balikpapan Timur	Kota Balikpapan	5
	Sayur			26		Lamaru	Balikpapan Timur	Kota Balikpapan	6
				34		Lamaru	Balikpapan Timur	Kota Balikpapan	5
				66		Lamaru	Balikpapan Timur	Kota Balikpapan	1
		Gryia Mulya Resident A17		177		Lamaru	Balikpapan Timur	Kota Balikpapan	3
		Pelangi		22		Lamaru	Balikpapan Timur	Kota Balikpapan	6
		Rawamangun		10		Lamaru	Balikpapan Timur	Kota Balikpapan	3
		Teritip Mas No4	B2	06		Lamaru	Balikpapan Timur	Kota Balikpapan	4
Mulawarman	Barokah					Lamaru	Balikpapan Timur	Kota Balikpapan	4
Mulawarman	Sumber Rezeki			15		Lamaru	Balikpapan Timur	Kota Balikpapan	3
Mulawarman				16		Lamaru	Balikpapan Timur	Kota Balikpapan	1
Mulawarman	Barokah			20		Lamaru	Balikpapan Timur	Kota Balikpapan	4
Mulawarman	Mawar			25		Lamaru	Balikpapan Timur	Kota Balikpapan	5
Mulawarman G.padat Karya						Lamaru	Balikpapan Timur	Kota Balikpapan	3
Pemuda		Batakan Asri 2	F2			Lamaru	Balikpapan Timur	Kota Balikpapan	1
Pesatuan				01		Lamaru	Balikpapan Timur	Kota Balikpapan	2
Pesatuanrt01						Lamaru	Balikpapan Timur	Kota Balikpapan	1
Rawamangun Indah				10		Lamaru	Balikpapan Timur	Kota Balikpapan	4
Telaga Sari I				37		Lamaru	Balikpapan Timur	Kota Balikpapan	4
			T			Manggar	Balikpapan Timur	Kota Balikpapan	3
						Manggar	Balikpapan Timur	Kota Balikpapan	11
	Murni					Manggar	Balikpapan Timur	Kota Balikpapan	1
	Murni			03		Manggar	Balikpapan Timur	Kota Balikpapan	3
				08		Manggar	Balikpapan Timur	Kota Balikpapan	4
				10		Manggar	Balikpapan Timur	Kota Balikpapan	4
				14		Manggar	Balikpapan Timur	Kota Balikpapan	5
	Ayam			14		Manggar	Balikpapan Timur	Kota Balikpapan	1
				15		Manggar	Balikpapan Timur	Kota Balikpapan	1
				37		Manggar	Balikpapan Timur	Kota Balikpapan	6
				39		Manggar	Balikpapan Timur	Kota Balikpapan	1
				44		Manggar	Balikpapan Timur	Kota Balikpapan	3
				57		Manggar	Balikpapan Timur	Kota Balikpapan	5
				66		Manggar	Balikpapan Timur	Kota Balikpapan	6
			J	97		Manggar	Balikpapan Timur	Kota Balikpapan	5
		Batakan Asri 2	A3			Manggar	Balikpapan Timur	Kota Balikpapan	4
		Batakan Asri 2	F3			Manggar	Balikpapan Timur	Kota Balikpapan	3
		Batakan Asri 2	F4			Manggar	Balikpapan Timur	Kota Balikpapan	4
		Batakan Asri 2	C-5			Manggar	Balikpapan Timur	Kota Balikpapan	5
		Batakan Asri II				Manggar	Balikpapan Timur	Kota Balikpapan	5
		Batakan Indah	Q	12		Manggar	Balikpapan Timur	Kota Balikpapan	3
		Batakan Indah	R	12		Manggar	Balikpapan Timur	Kota Balikpapan	4
		Batakan Mas		27		Manggar	Balikpapan Timur	Kota Balikpapan	2
		Batakan Mas	G	65		Manggar	Balikpapan Timur	Kota Balikpapan	5
		Batakan Permai 3	E2			Manggar	Balikpapan Timur	Kota Balikpapan	4
		Borneo Paradiso				Manggar	Balikpapan Timur	Kota Balikpapan	6
		Borneo Paradiso	B	01		Manggar	Balikpapan Timur	Kota Balikpapan	5
		Bukit Batakan Indah	E	11		Manggar	Balikpapan Timur	Kota Balikpapan	5
		Bukit Batakan Indah	Q-15A	12		Manggar	Balikpapan Timur	Kota Balikpapan	2
		Bukit Batakan Indah	Q	12		Manggar	Balikpapan Timur	Kota Balikpapan	3
		Bukit Batakan Indah	L	12		Manggar	Balikpapan Timur	Kota Balikpapan	9
		Bukit Batakan Perma 3	D18			Manggar	Balikpapan Timur	Kota Balikpapan	3
		Bukit Batakan Permai	G7			Manggar	Balikpapan Timur	Kota Balikpapan	3
		Bukit Batakan Permai	G8			Manggar	Balikpapan Timur	Kota Balikpapan	5
		Bukit Batakan Permai 3	C5			Manggar	Balikpapan Timur	Kota Balikpapan	3
		Bukit Batakan Permai 3	A9			Manggar	Balikpapan Timur	Kota Balikpapan	3
		Bukit Batakan Permai 3		10		Manggar	Balikpapan Timur	Kota Balikpapan	4
		Bukit Batakan Permai 3	AB5	79		Manggar	Balikpapan Timur	Kota Balikpapan	2
		Bukit Batakan Permai 3	AA6	79		Manggar	Balikpapan Timur	Kota Balikpapan	3
		Bukit Batakan Permai 3	B8	80		Manggar	Balikpapan Timur	Kota Balikpapan	4
		Bukit Batakan Permai 3	G1	80		Manggar	Balikpapan Timur	Kota Balikpapan	3
		Bukit Batakan Permai 3	B7	80		Manggar	Balikpapan Timur	Kota Balikpapan	4
		Bukit Batakan Permai II	H2			Manggar	Balikpapan Timur	Kota Balikpapan	3
		Bukit Batakan Permai II	G1			Manggar	Balikpapan Timur	Kota Balikpapan	5
		Cgs	AB2	58		Manggar	Balikpapan Timur	Kota Balikpapan	1
		Cgs 1	AB2	58		Manggar	Balikpapan Timur	Kota Balikpapan	1
		Daksa Timur III		05		Manggar	Balikpapan Timur	Kota Balikpapan	2
		Nusa Indah Resident	A5			Manggar	Balikpapan Timur	Kota Balikpapan	2
		Panji	A	62		Manggar	Balikpapan Timur	Kota Balikpapan	6
		Pesona Bukit Batakan	A5			Manggar	Balikpapan Timur	Kota Balikpapan	4
		Pesona Bukit Batakan	A2			Manggar	Balikpapan Timur	Kota Balikpapan	1
		Pesona Bukit Batakan	N			Manggar	Balikpapan Timur	Kota Balikpapan	5
		Pesona Bukit Batakan	Q	75		Manggar	Balikpapan Timur	Kota Balikpapan	3
		Pondok Asri	A			Manggar	Balikpapan Timur	Kota Balikpapan	5
		Pondok Asri	A	29		Manggar	Balikpapan Timur	Kota Balikpapan	2
		Pondok Asri	OA	29		Manggar	Balikpapan Timur	Kota Balikpapan	4
		Pondok Asri	D	29		Manggar	Balikpapan Timur	Kota Balikpapan	2
		Pondok Asri	NB-06	59		Manggar	Balikpapan Timur	Kota Balikpapan	2
		Pondok Asri	OA	59		Manggar	Balikpapan Timur	Kota Balikpapan	5
		Pondok Asri Biru	ZC	60		Manggar	Balikpapan Timur	Kota Balikpapan	4
		Pondok Asri Blok-d	D	29		Manggar	Balikpapan Timur	Kota Balikpapan	5
		Taman Intan Geriya	R	63		Manggar	Balikpapan Timur	Kota Balikpapan	4
		Taman Intan Gerya	T			Manggar	Balikpapan Timur	Kota Balikpapan	2
		Taman Intan Griya	I	63		Manggar	Balikpapan Timur	Kota Balikpapan	3
		Taman Intan Griya	X	63		Manggar	Balikpapan Timur	Kota Balikpapan	2
		Taman Intan Grya	A70	62		Manggar	Balikpapan Timur	Kota Balikpapan	5
		Tol Residence	H			Manggar	Balikpapan Timur	Kota Balikpapan	4
	Wonorame	Wono Graha Asri		23		Manggar	Balikpapan Timur	Kota Balikpapan	5
Al Amin			I	06		Manggar	Balikpapan Timur	Kota Balikpapan	4
Anggrek				30		Manggar	Balikpapan Timur	Kota Balikpapan	1
Anggrek 11				30		Manggar	Balikpapan Timur	Kota Balikpapan	2
Anggrek II				30		Manggar	Balikpapan Timur	Kota Balikpapan	3
Ar. Rahman						Manggar	Balikpapan Timur	Kota Balikpapan	1
Arrahman				55		Manggar	Balikpapan Timur	Kota Balikpapan	3
Arrahman				96		Manggar	Balikpapan Timur	Kota Balikpapan	5
Banjar	Katesno 50 Rt16			16		Manggar	Balikpapan Timur	Kota Balikpapan	2
Batakan				14		Manggar	Balikpapan Timur	Kota Balikpapan	3
Kunang-kunang 80				70		Manggar	Balikpapan Timur	Kota Balikpapan	4
Kunang-kuunang				52		Manggar	Balikpapan Timur	Kota Balikpapan	5
Manggar Indah						Manggar	Balikpapan Timur	Kota Balikpapan	4
Manggar Indah	Anggrek I			30		Manggar	Balikpapan Timur	Kota Balikpapan	4
Marsma R. Iswahyudi				03		Manggar	Balikpapan Timur	Kota Balikpapan	2
