Jalan	Gang	Perumahan_Blok_Komplek	Blok	RT	RW	Kelurahan	Kecamatan	Kota_Kab	Jumlah_Entri_Alamat_Sama
Mt. Haryono				37		Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	2
Mt. Haryono Gang Suplir						Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	1
Pemuda 12D						Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	7
Pemuda II						Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	1
Pemuda II				13		Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	3
Pemuda III				13		Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	2
Pemuda IV						Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	5
Pemuda V						Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	2
Pemuda VI				13		Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	3
Penegak				09		Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	5
Pupuk Barat						Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	6
Pupuk Barat I						Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	7
Pupuk Barat I				14		Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	5
Pupuk Barat III				13		Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	3
Pupuk Barat V						Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	7
Pupuk Barat VI						Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	3
Pupuk Barat VI No10						Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	4
Pupuk Raya						Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	15
Pupuk Raya				14		Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	3
Pupuk Raya				16		Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	7
Pupuk Timur I						Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	2
Pupuk Timur II						Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	1
Pupuk Timur II				38		Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	1
Pupuk Utara V			E			Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	3
Pupuk Utara V			C	16		Damai Bahagia	Balikpapan Selatan	Kota Balikpapan	4
				12		Damai Baru	Balikpapan Selatan	Kota Balikpapan	2
				13		Damai Baru	Balikpapan Selatan	Kota Balikpapan	1
		Balikpapan Baru	L3			Damai Baru	Balikpapan Selatan	Kota Balikpapan	1
		Bpn Baru	L3			Damai Baru	Balikpapan Selatan	Kota Balikpapan	1
		Wahana Asri II		14		Damai Baru	Balikpapan Selatan	Kota Balikpapan	1
		Wahana Asri Ii-				Damai Baru	Balikpapan Selatan	Kota Balikpapan	1
Agung Tunggal		Wahana Asri II		14		Damai Baru	Balikpapan Selatan	Kota Balikpapan	3
Mt. Haryono						Damai Baru	Balikpapan Selatan	Kota Balikpapan	2
Mt. Haryono				12		Damai Baru	Balikpapan Selatan	Kota Balikpapan	2
Mt. Haryono				13		Damai Baru	Balikpapan Selatan	Kota Balikpapan	3
			E			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	6
						Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	7
			G4	21		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	3
			A1	31		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
				42		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	3
			Q	47		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
				51		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
			C	58		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	5
		Balikpapan Baru				Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
		Bds 1	B1			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	2
		Bds 1	A5			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	1
		Bds 2	E1			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	1
		Bds 2 Jl.enggang 1	U			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	1
		Bukit Villa Balikpapan	A4			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
		Bumi Rengganis	9B			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
		Bumi Rengganis	12			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	5
		Bumi Rengganis	3B	35		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	3
		Bumi Rengganis Block 3-c				Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	2
		Forestville	K15			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
		Mediterania	R3/16			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	5
		Pgri	L			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	3
		Pgri	G			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	3
		Pgri	B1			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
		Pgri	J			Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
		Pgri	E	45		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	2
		Pgri	K	46		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	3
		Pgri	O	47		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
		Pgri	D1	48		Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	5
		Regency Balikpapan				Gunung Bahagia	Balikpapan Selatan	Kota Balikpapan	4
